datetime,lat,lon,waveMeanDirection,waveTp,waveTm,waveHs
2024-10-03 14:00:00,41.916672,-69.75,97.625,9.59375,7.1875,1.1796875
2024-10-03 15:00:00,41.916672,-69.75,97.8203125,9.5625,7.21875,1.1796875
2024-10-03 16:00:00,41.916672,-69.75,97.9140625,9.4921875,7.2578125,1.1796875
2024-10-03 17:00:00,41.916672,-69.75,97.9296875,9.390625,7.296875,1.171875
2024-10-03 18:00:00,41.916672,-69.75,97.9296875,9.3125,7.3359375,1.171875
2024-10-03 19:00:00,41.916672,-69.75,97.9375,9.2421875,7.3828125,1.171875
2024-10-03 20:00:00,41.916672,-69.75,97.9765625,9.15625,7.4296875,1.171875
2024-10-03 21:00:00,41.916672,-69.75,98.03125,9.078125,7.4765625,1.171875
2024-10-03 22:00:00,41.916672,-69.75,98.1015625,9.0,7.515625,1.171875
2024-10-03 23:00:00,41.916672,-69.75,98.1796875,8.9453125,7.5546875,1.171875
2024-10-04 00:00:00,41.916672,-69.75,98.2890625,8.8984375,7.5859375,1.1640625
2024-10-04 01:00:00,41.916672,-69.75,98.421875,8.8671875,7.6171875,1.15625
2024-10-04 02:00:00,41.916672,-69.75,98.6171875,8.84375,7.6328125,1.15625
2024-10-04 03:00:00,41.916672,-69.75,98.9140625,8.8203125,7.6484375,1.1484375
2024-10-04 04:00:00,41.916672,-69.75,99.296875,8.7890625,7.6640625,1.140625
2024-10-04 05:00:00,41.916672,-69.75,99.7578125,8.75,7.671875,1.125
2024-10-04 06:00:00,41.916672,-69.75,100.265625,8.6953125,7.6796875,1.1171875
2024-10-04 07:00:00,41.916672,-69.75,100.796875,8.5859375,7.671875,1.1015625
2024-10-04 08:00:00,41.916672,-69.75,101.328125,8.46875,7.6640625,1.09375
2024-10-04 09:00:00,41.916672,-69.75,101.8203125,8.3671875,7.6484375,1.078125
2024-10-04 10:00:00,41.916672,-69.75,102.2578125,8.2890625,7.6328125,1.0546875
2024-10-04 11:00:00,41.916672,-69.75,102.6484375,8.2265625,7.609375,1.0390625
2024-10-04 12:00:00,41.916672,-69.75,103.0,8.1796875,7.5859375,1.0234375
2024-10-04 13:00:00,41.916672,-69.75,103.328125,8.140625,7.5625,1.0
2024-10-04 14:00:00,41.916672,-69.75,103.65625,8.1171875,7.5390625,0.984375
2024-10-04 15:00:00,41.916672,-69.75,104.0390625,8.09375,7.5078125,0.96875
2024-10-04 16:00:00,41.916672,-69.75,104.46875,8.078125,7.4609375,0.953125
2024-10-04 17:00:00,41.916672,-69.75,104.9453125,8.0703125,7.40625,0.9375
2024-10-04 18:00:00,41.916672,-69.75,105.4921875,8.078125,7.3359375,0.9296875
2024-10-04 19:00:00,41.916672,-69.75,105.9609375,8.09375,7.3046875,0.9140625
2024-10-04 20:00:00,41.916672,-69.75,106.21875,8.1171875,7.3359375,0.8984375
2024-10-04 21:00:00,41.916672,-69.75,106.359375,9.8984375,7.375,0.8828125
2024-10-04 22:00:00,41.916672,-69.75,106.609375,9.859375,7.3984375,0.875
2024-10-04 23:00:00,41.916672,-69.75,107.078125,9.8203125,7.359375,0.8671875
2024-10-05 00:00:00,41.916672,-69.75,108.4765625,9.7734375,7.203125,0.875
2024-10-05 01:00:00,41.916672,-69.75,109.953125,9.734375,7.1328125,0.8828125
2024-10-05 02:00:00,41.916672,-69.75,111.1953125,9.6953125,7.0703125,0.8828125
2024-10-05 03:00:00,41.916672,-69.75,111.96875,8.421875,7.0546875,0.8828125
2024-10-05 04:00:00,41.916672,-69.75,112.0625,8.4453125,7.09375,0.875
2024-10-05 05:00:00,41.916672,-69.75,111.578125,8.4765625,7.203125,0.8671875
2024-10-05 06:00:00,41.916672,-69.75,110.9375,8.5,7.3359375,0.8515625
2024-10-05 07:00:00,41.916672,-69.75,110.484375,8.515625,7.4609375,0.84375
2024-10-05 08:00:00,41.916672,-69.75,110.2109375,8.4921875,7.5625,0.8359375
2024-10-05 09:00:00,41.916672,-69.75,110.0859375,8.453125,7.6640625,0.828125
2024-10-05 10:00:00,41.916672,-69.75,110.078125,8.3984375,7.7578125,0.828125
2024-10-05 11:00:00,41.916672,-69.75,110.1796875,8.359375,7.859375,0.828125
2024-10-05 12:00:00,41.916672,-69.75,110.3984375,8.34375,7.9609375,0.828125
2024-10-05 13:00:00,41.916672,-69.75,110.6953125,8.3359375,8.0625,0.8359375
2024-10-05 14:00:00,41.916672,-69.75,111.0390625,8.3515625,8.171875,0.84375
2024-10-05 15:00:00,41.916672,-69.75,111.3984375,8.390625,8.28125,0.84375
2024-10-05 16:00:00,41.916672,-69.75,111.71875,8.4609375,8.40625,0.8515625
2024-10-05 17:00:00,41.916672,-69.75,111.9609375,8.5234375,8.515625,0.8671875
2024-10-05 18:00:00,41.916672,-69.75,109.5390625,8.5546875,8.03125,0.9140625
2024-10-05 19:00:00,41.916672,-69.75,106.2421875,8.5390625,7.9140625,0.953125
2024-10-05 20:00:00,41.916672,-69.75,104.71875,8.515625,7.9453125,0.96875
2024-10-05 21:00:00,41.916672,-69.75,104.84375,14.984375,8.1171875,0.9765625
2024-10-05 22:00:00,41.916672,-69.75,105.9453125,14.9375,8.375,0.9765625
2024-10-05 23:00:00,41.916672,-69.75,107.1640625,14.8515625,8.640625,0.984375
2024-10-06 00:00:00,41.916672,-69.75,108.5546875,14.7109375,8.9296875,0.984375
2024-10-06 01:00:00,41.916672,-69.75,109.8671875,14.5625,9.203125,0.9921875
2024-10-06 02:00:00,41.916672,-69.75,110.671875,14.4453125,9.390625,1.0078125
2024-10-06 03:00:00,41.916672,-69.75,110.4765625,14.3671875,9.4375,1.0390625
2024-10-06 04:00:00,41.916672,-69.75,108.703125,14.3125,9.3359375,1.078125
2024-10-06 05:00:00,41.916672,-69.75,105.296875,14.2734375,9.0859375,1.140625
2024-10-06 06:00:00,41.916672,-69.75,99.9453125,14.2421875,8.6953125,1.2265625
2024-10-06 07:00:00,41.916672,-69.75,95.1171875,14.203125,8.375,1.3046875
2024-10-06 08:00:00,41.916672,-69.75,90.53125,14.140625,8.1171875,1.3984375
2024-10-06 09:00:00,41.916672,-69.75,86.8359375,14.0625,7.953125,1.4765625
2024-10-06 10:00:00,41.916672,-69.75,86.609375,13.90625,8.0390625,1.515625
2024-10-06 11:00:00,41.916672,-69.75,87.0078125,13.6953125,8.1640625,1.53125
2024-10-06 12:00:00,41.916672,-69.75,87.1796875,13.546875,8.25,1.546875
2024-10-06 13:00:00,41.916672,-69.75,87.6484375,13.4453125,8.3359375,1.5625
2024-10-06 14:00:00,41.916672,-69.75,88.40625,13.375,8.4296875,1.5625
2024-10-06 15:00:00,41.916672,-69.75,89.5234375,13.3359375,8.546875,1.5703125
2024-10-06 16:00:00,41.916672,-69.75,91.140625,13.3203125,8.6875,1.5625
2024-10-06 17:00:00,41.916672,-69.75,93.1640625,13.3203125,8.8515625,1.5546875
2024-10-06 18:00:00,41.916672,-69.75,95.640625,13.328125,9.0546875,1.53125
2024-10-06 19:00:00,41.916672,-69.75,98.2421875,13.34375,9.2734375,1.515625
2024-10-06 20:00:00,41.916672,-69.75,100.6875,13.359375,9.4921875,1.4921875
2024-10-06 21:00:00,41.916672,-69.75,102.828125,13.3671875,9.7109375,1.4765625
2024-10-06 22:00:00,41.916672,-69.75,104.5859375,13.3671875,9.8984375,1.4609375
2024-10-06 23:00:00,41.916672,-69.75,105.984375,13.3515625,10.0703125,1.453125
2024-10-07 00:00:00,41.916672,-69.75,107.09375,13.34375,10.2265625,1.4375
2024-10-07 01:00:00,41.916672,-69.75,107.953125,13.3359375,10.3671875,1.4375
2024-10-07 02:00:00,41.916672,-69.75,108.609375,13.3359375,10.5078125,1.4375
2024-10-07 03:00:00,41.916672,-69.75,109.0859375,13.359375,10.640625,1.4375
2024-10-07 04:00:00,41.916672,-69.75,109.421875,13.40625,10.7734375,1.4453125
2024-10-07 05:00:00,41.916672,-69.75,109.671875,13.4765625,10.921875,1.4609375
2024-10-07 06:00:00,41.916672,-69.75,109.8359375,13.6015625,11.09375,1.46875
2024-10-07 07:00:00,41.916672,-69.75,109.8828125,13.8046875,11.28125,1.484375
2024-10-07 08:00:00,41.916672,-69.75,109.8125,14.0859375,11.46875,1.5
2024-10-07 09:00:00,41.916672,-69.75,109.6171875,14.2578125,11.6484375,1.5234375
2024-10-07 10:00:00,41.916672,-69.75,109.3359375,14.3828125,11.8046875,1.5546875
2024-10-07 11:00:00,41.916672,-69.75,109.0546875,14.515625,11.9296875,1.578125
2024-10-07 12:00:00,41.916672,-69.75,108.8515625,14.7109375,12.03125,1.6015625
2024-10-07 13:00:00,41.916672,-69.75,108.765625,15.109375,12.1171875,1.625
2024-10-07 14:00:00,41.916672,-69.75,108.875,15.5234375,12.1015625,1.65625
2024-10-07 15:00:00,41.916672,-69.75,110.6875,15.6640625,11.765625,1.7109375
2024-10-07 16:00:00,41.916672,-69.75,111.5625,15.7265625,11.7265625,1.734375
2024-10-07 17:00:00,41.916672,-69.75,112.6640625,15.734375,11.59375,1.7578125
2024-10-07 18:00:00,41.916672,-69.75,114.1875,15.703125,11.359375,1.78125
2024-10-07 19:00:00,41.916672,-69.75,116.0859375,15.6171875,11.0078125,1.8203125
2024-10-07 20:00:00,41.916672,-69.75,118.265625,15.4453125,10.546875,1.8671875
2024-10-07 21:00:00,41.916672,-69.75,120.390625,15.03125,10.0703125,1.921875
2024-10-07 22:00:00,41.916672,-69.75,122.3671875,14.78125,9.640625,1.9765625
2024-10-07 23:00:00,41.916672,-69.75,123.953125,14.640625,9.390625,2.015625
2024-10-08 00:00:00,41.916672,-69.75,124.859375,14.5546875,9.375,2.0
2024-10-08 01:00:00,41.916672,-69.75,124.5546875,14.4921875,9.5,1.953125
2024-10-08 02:00:00,41.916672,-69.75,122.734375,14.421875,9.71875,1.890625
2024-10-08 03:00:00,41.916672,-69.75,119.7265625,14.3359375,9.9765625,1.828125
2024-10-08 04:00:00,41.916672,-69.75,116.25,14.203125,10.21875,1.78125
2024-10-08 05:00:00,41.916672,-69.75,112.9609375,14.0,10.3984375,1.7578125
2024-10-08 06:00:00,41.916672,-69.75,109.984375,13.5078125,10.5,1.75
2024-10-08 07:00:00,41.916672,-69.75,107.2578125,13.2890625,10.5234375,1.7578125
2024-10-08 08:00:00,41.916672,-69.75,103.765625,13.171875,10.296875,1.7890625
2024-10-08 09:00:00,41.916672,-69.75,100.703125,13.109375,10.1953125,1.8046875
2024-10-08 10:00:00,41.916672,-69.75,98.3359375,13.0546875,10.140625,1.8125
2024-10-08 11:00:00,41.916672,-69.75,96.1953125,12.984375,10.0546875,1.8125
2024-10-08 12:00:00,41.916672,-69.75,93.90625,12.90625,9.9140625,1.8125
2024-10-08 13:00:00,41.916672,-69.75,91.703125,12.78125,9.7578125,1.8125
2024-10-08 14:00:00,41.916672,-69.75,89.34375,12.1328125,9.5703125,1.8046875
2024-10-08 15:00:00,41.916672,-69.75,86.9453125,11.8828125,9.3828125,1.8046875
2024-10-08 16:00:00,41.916672,-69.75,84.75,11.8203125,9.2109375,1.8046875
2024-10-08 17:00:00,41.916672,-69.75,82.9609375,11.7890625,9.078125,1.7890625
2024-10-08 18:00:00,41.916672,-69.75,82.21875,11.765625,9.0390625,1.765625
2024-10-08 19:00:00,41.916672,-69.75,82.46875,11.7421875,9.078125,1.734375
2024-10-08 20:00:00,41.916672,-69.75,83.1015625,11.7265625,9.1640625,1.6953125
2024-10-08 21:00:00,41.916672,-69.75,83.8515625,11.6953125,9.25,1.65625
2024-10-08 22:00:00,41.916672,-69.75,84.6484375,11.6640625,9.34375,1.6171875
2024-10-08 23:00:00,41.916672,-69.75,85.4140625,11.6171875,9.421875,1.578125
2024-10-09 00:00:00,41.916672,-69.75,86.0703125,11.5546875,9.4765625,1.546875
2024-10-09 01:00:00,41.916672,-69.75,86.640625,11.421875,9.515625,1.515625
2024-10-09 02:00:00,41.916672,-69.75,87.140625,11.3046875,9.53125,1.484375
2024-10-09 03:00:00,41.916672,-69.75,87.578125,11.2109375,9.5390625,1.453125
2024-10-09 04:00:00,41.916672,-69.75,87.9375,11.140625,9.5390625,1.421875
2024-10-09 05:00:00,41.916672,-69.75,88.21875,11.0859375,9.53125,1.390625
2024-10-09 06:00:00,41.916672,-69.75,88.40625,11.0390625,9.515625,1.3515625
2024-10-09 07:00:00,41.916672,-69.75,88.53125,11.0,9.4921875,1.3203125
2024-10-09 08:00:00,41.916672,-69.75,88.609375,10.9609375,9.4609375,1.2890625
2024-10-09 09:00:00,41.916672,-69.75,88.6796875,10.9140625,9.4140625,1.2578125
2024-10-09 10:00:00,41.916672,-69.75,88.765625,10.875,9.34375,1.2265625
2024-10-09 11:00:00,41.916672,-69.75,88.9453125,10.828125,9.2890625,1.203125
