datetime,lat,lon,waveTp,waveHs,waveTm,waveMeanDirection
2024-10-03 14:00:00,41.916672,-69.75,9.59375,1.1796875,7.1875,97.625
2024-10-03 15:00:00,41.916672,-69.75,9.5625,1.1796875,7.21875,97.8203125
2024-10-03 16:00:00,41.916672,-69.75,9.4921875,1.1796875,7.2578125,97.9140625
2024-10-03 17:00:00,41.916672,-69.75,9.390625,1.171875,7.296875,97.9296875
2024-10-03 18:00:00,41.916672,-69.75,9.3125,1.171875,7.3359375,97.9296875
2024-10-03 19:00:00,41.916672,-69.75,9.2421875,1.171875,7.3828125,97.9375
2024-10-03 20:00:00,41.916672,-69.75,9.15625,1.171875,7.4296875,97.9765625
2024-10-03 21:00:00,41.916672,-69.75,9.078125,1.171875,7.4765625,98.03125
2024-10-03 22:00:00,41.916672,-69.75,9.0,1.171875,7.515625,98.1015625
2024-10-03 23:00:00,41.916672,-69.75,8.9453125,1.171875,7.5546875,98.1796875
2024-10-04 00:00:00,41.916672,-69.75,8.8984375,1.1640625,7.5859375,98.2890625
2024-10-04 01:00:00,41.916672,-69.75,8.8671875,1.15625,7.6171875,98.421875
2024-10-04 02:00:00,41.916672,-69.75,8.84375,1.15625,7.6328125,98.6171875
2024-10-04 03:00:00,41.916672,-69.75,8.8203125,1.1484375,7.6484375,98.9140625
2024-10-04 04:00:00,41.916672,-69.75,8.7890625,1.140625,7.6640625,99.296875
2024-10-04 05:00:00,41.916672,-69.75,8.75,1.125,7.671875,99.7578125
2024-10-04 06:00:00,41.916672,-69.75,8.6953125,1.1171875,7.6796875,100.265625
2024-10-04 07:00:00,41.916672,-69.75,8.5859375,1.1015625,7.671875,100.796875
2024-10-04 08:00:00,41.916672,-69.75,8.46875,1.09375,7.6640625,101.328125
2024-10-04 09:00:00,41.916672,-69.75,8.3671875,1.078125,7.6484375,101.8203125
2024-10-04 10:00:00,41.916672,-69.75,8.2890625,1.0546875,7.6328125,102.2578125
2024-10-04 11:00:00,41.916672,-69.75,8.2265625,1.0390625,7.609375,102.6484375
2024-10-04 12:00:00,41.916672,-69.75,8.1796875,1.0234375,7.5859375,103.0
2024-10-04 13:00:00,41.916672,-69.75,8.140625,1.0,7.5625,103.328125
2024-10-04 14:00:00,41.916672,-69.75,8.1171875,0.984375,7.5390625,103.65625
2024-10-04 15:00:00,41.916672,-69.75,8.09375,0.96875,7.5078125,104.0390625
2024-10-04 16:00:00,41.916672,-69.75,8.078125,0.953125,7.4609375,104.46875
2024-10-04 17:00:00,41.916672,-69.75,8.0703125,0.9375,7.40625,104.9453125
2024-10-04 18:00:00,41.916672,-69.75,8.078125,0.9296875,7.3359375,105.4921875
2024-10-04 19:00:00,41.916672,-69.75,8.09375,0.9140625,7.3046875,105.9609375
2024-10-04 20:00:00,41.916672,-69.75,8.1171875,0.8984375,7.3359375,106.21875
2024-10-04 21:00:00,41.916672,-69.75,9.8984375,0.8828125,7.375,106.359375
2024-10-04 22:00:00,41.916672,-69.75,9.859375,0.875,7.3984375,106.609375
2024-10-04 23:00:00,41.916672,-69.75,9.8203125,0.8671875,7.359375,107.078125
2024-10-05 00:00:00,41.916672,-69.75,9.7734375,0.875,7.203125,108.4765625
2024-10-05 01:00:00,41.916672,-69.75,9.734375,0.8828125,7.1328125,109.953125
2024-10-05 02:00:00,41.916672,-69.75,9.6953125,0.8828125,7.0703125,111.1953125
2024-10-05 03:00:00,41.916672,-69.75,8.421875,0.8828125,7.0546875,111.96875
2024-10-05 04:00:00,41.916672,-69.75,8.4453125,0.875,7.09375,112.0625
2024-10-05 05:00:00,41.916672,-69.75,8.4765625,0.8671875,7.203125,111.578125
2024-10-05 06:00:00,41.916672,-69.75,8.5,0.8515625,7.3359375,110.9375
2024-10-05 07:00:00,41.916672,-69.75,8.515625,0.84375,7.4609375,110.484375
2024-10-05 08:00:00,41.916672,-69.75,8.4921875,0.8359375,7.5625,110.2109375
2024-10-05 09:00:00,41.916672,-69.75,8.453125,0.828125,7.6640625,110.0859375
2024-10-05 10:00:00,41.916672,-69.75,8.3984375,0.828125,7.7578125,110.078125
2024-10-05 11:00:00,41.916672,-69.75,8.359375,0.828125,7.859375,110.1796875
2024-10-05 12:00:00,41.916672,-69.75,8.34375,0.828125,7.9609375,110.3984375
2024-10-05 13:00:00,41.916672,-69.75,8.3359375,0.8359375,8.0625,110.6953125
2024-10-05 14:00:00,41.916672,-69.75,8.3515625,0.84375,8.171875,111.0390625
2024-10-05 15:00:00,41.916672,-69.75,8.390625,0.84375,8.28125,111.3984375
2024-10-05 16:00:00,41.916672,-69.75,8.4609375,0.8515625,8.40625,111.71875
2024-10-05 17:00:00,41.916672,-69.75,8.5234375,0.8671875,8.515625,111.9609375
2024-10-05 18:00:00,41.916672,-69.75,8.5546875,0.9140625,8.03125,109.5390625
2024-10-05 19:00:00,41.916672,-69.75,8.5390625,0.953125,7.9140625,106.2421875
2024-10-05 20:00:00,41.916672,-69.75,8.515625,0.96875,7.9453125,104.71875
2024-10-05 21:00:00,41.916672,-69.75,14.984375,0.9765625,8.1171875,104.84375
2024-10-05 22:00:00,41.916672,-69.75,14.9375,0.9765625,8.375,105.9453125
2024-10-05 23:00:00,41.916672,-69.75,14.8515625,0.984375,8.640625,107.1640625
2024-10-06 00:00:00,41.916672,-69.75,14.7109375,0.984375,8.9296875,108.5546875
2024-10-06 01:00:00,41.916672,-69.75,14.5625,0.9921875,9.203125,109.8671875
2024-10-06 02:00:00,41.916672,-69.75,14.4453125,1.0078125,9.390625,110.671875
2024-10-06 03:00:00,41.916672,-69.75,14.3671875,1.0390625,9.4375,110.4765625
2024-10-06 04:00:00,41.916672,-69.75,14.3125,1.078125,9.3359375,108.703125
2024-10-06 05:00:00,41.916672,-69.75,14.2734375,1.140625,9.0859375,105.296875
2024-10-06 06:00:00,41.916672,-69.75,14.2421875,1.2265625,8.6953125,99.9453125
2024-10-06 07:00:00,41.916672,-69.75,14.203125,1.3046875,8.375,95.1171875
2024-10-06 08:00:00,41.916672,-69.75,14.140625,1.3984375,8.1171875,90.53125
2024-10-06 09:00:00,41.916672,-69.75,14.0625,1.4765625,7.953125,86.8359375
2024-10-06 10:00:00,41.916672,-69.75,13.90625,1.515625,8.0390625,86.609375
2024-10-06 11:00:00,41.916672,-69.75,13.6953125,1.53125,8.1640625,87.0078125
2024-10-06 12:00:00,41.916672,-69.75,13.546875,1.546875,8.25,87.1796875
2024-10-06 13:00:00,41.916672,-69.75,13.4453125,1.5625,8.3359375,87.6484375
2024-10-06 14:00:00,41.916672,-69.75,13.375,1.5625,8.4296875,88.40625
2024-10-06 15:00:00,41.916672,-69.75,13.3359375,1.5703125,8.546875,89.5234375
2024-10-06 16:00:00,41.916672,-69.75,13.3203125,1.5625,8.6875,91.140625
2024-10-06 17:00:00,41.916672,-69.75,13.3203125,1.5546875,8.8515625,93.1640625
2024-10-06 18:00:00,41.916672,-69.75,13.328125,1.53125,9.0546875,95.640625
2024-10-06 19:00:00,41.916672,-69.75,13.34375,1.515625,9.2734375,98.2421875
2024-10-06 20:00:00,41.916672,-69.75,13.359375,1.4921875,9.4921875,100.6875
2024-10-06 21:00:00,41.916672,-69.75,13.3671875,1.4765625,9.7109375,102.828125
2024-10-06 22:00:00,41.916672,-69.75,13.3671875,1.4609375,9.8984375,104.5859375
2024-10-06 23:00:00,41.916672,-69.75,13.3515625,1.453125,10.0703125,105.984375
2024-10-07 00:00:00,41.916672,-69.75,13.34375,1.4375,10.2265625,107.09375
2024-10-07 01:00:00,41.916672,-69.75,13.3359375,1.4375,10.3671875,107.953125
2024-10-07 02:00:00,41.916672,-69.75,13.3359375,1.4375,10.5078125,108.609375
2024-10-07 03:00:00,41.916672,-69.75,13.359375,1.4375,10.640625,109.0859375
2024-10-07 04:00:00,41.916672,-69.75,13.40625,1.4453125,10.7734375,109.421875
2024-10-07 05:00:00,41.916672,-69.75,13.4765625,1.4609375,10.921875,109.671875
2024-10-07 06:00:00,41.916672,-69.75,13.6015625,1.46875,11.09375,109.8359375
2024-10-07 07:00:00,41.916672,-69.75,13.8046875,1.484375,11.28125,109.8828125
